stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,efe_visibility,seed
4.456,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.456,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.456,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.456,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.918,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.918,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.918,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.918,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.215,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.413,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.667,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.667,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.667,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.931,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.03,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.03,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.261,-3.539683611835436,-0.4373755655167688,-1.0164422319188675,0.0,0.0,1e-12,0.0,0.0,-1.0,-3.0,3.607913086596736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
